iter	RMSE
0	0.3877578752
1	0.374884107
2	0.3634043301
3	0.3520117022
4	0.3407259384
5	0.3297998366
6	0.3207446366
7	0.3116680029
8	0.3029074535
9	0.2939853683
10	0.2861246261
11	0.2785050386
12	0.2716231297
13	0.2643859367
14	0.2577060704
15	0.2512288282
16	0.2456828351
17	0.2401184519
18	0.2347086806
19	0.2292207215
20	0.224574902
21	0.2191628266
22	0.214474366
23	0.2102054009
24	0.206106582
25	0.2020536281
26	0.1981111362
27	0.1943860604
28	0.1909153236
29	0.187627204
30	0.1844354694
31	0.1813257207
32	0.1784980212
33	0.17557399
34	0.1729841541
35	0.1706081027
36	0.1684945941
37	0.1661580208
38	0.1642050952
39	0.1620398544
40	0.1601496186
41	0.1582705229
42	0.1563158542
43	0.1544319321
44	0.1527957474
45	0.1512163106
46	0.1497808671
47	0.1482058396
48	0.1467957271
49	0.1452731049
50	0.1438116583
51	0.1425872467
52	0.1413950947
53	0.1402709418
54	0.1393970061
55	0.1382317264
56	0.1370834559
57	0.1361265889
58	0.1351673084
59	0.1342507096
60	0.1333428833
61	0.1325601485
62	0.1317444234
63	0.130791335
64	0.1299308479
65	0.1289991318
66	0.1280711408
67	0.1271813833
68	0.1265012254
69	0.1257014589
70	0.125060688
71	0.1243145379
72	0.1236785554
73	0.1228930213
74	0.1221979812
75	0.1216923726
76	0.1211483938
77	0.1205779739
78	0.1198306178
79	0.1192916216
80	0.1186633947
81	0.1180546126
82	0.1175528402
83	0.117130989
84	0.1166473078
85	0.1160691548
86	0.1155498623
87	0.1150272798
88	0.114555072
89	0.1141511907
90	0.1137868993
91	0.1134400952
92	0.1131694818
93	0.11278521
94	0.1123517677
95	0.1119776248
96	0.111592225
97	0.1113107099
98	0.1108019697
99	0.1104240711
100	0.1103721953
101	0.1102002902
102	0.110023658
103	0.1097033521
104	0.1092715942
105	0.1088695902
106	0.1085785107
107	0.1082994238
108	0.1079414751
109	0.1076935457
110	0.1073620376
111	0.1070589216
112	0.1067569931
113	0.1063988433
114	0.106091056
115	0.105797151
116	0.1054895176
117	0.1053813928
118	0.1051193443
119	0.1048859068
120	0.1045222957
121	0.1042186094
122	0.1040645429
123	0.1037675108
124	0.1035668659
125	0.1035307983
126	0.1033775147
127	0.1031939602
128	0.1028434552
129	0.1026095574
130	0.1023864469
131	0.1021675528
132	0.10176924
133	0.1012541803
134	0.1007633815
135	0.1006076925
136	0.100397594
137	0.1002338365
138	0.1000894945
139	0.09980333069
140	0.09964818398
141	0.09955268181
142	0.0993059204
143	0.09903318801
144	0.09877602844
145	0.09864316583
146	0.09847960521
147	0.09842538781
148	0.09809080895
149	0.09780889778
150	0.09760055269
151	0.09748037315
152	0.09729348139
153	0.09716913762
154	0.09690033124
155	0.0966996867
156	0.09644586929
157	0.0962372405
158	0.09604327232
159	0.0958577168
160	0.09579374822
161	0.09555718712
162	0.09543161853
163	0.09521298956
164	0.09507175995
165	0.09485910748
166	0.09472794599
167	0.09434392966
168	0.09409588305
169	0.09400302055
170	0.09395976162
171	0.09376308395
172	0.09365230886
173	0.09351187525
174	0.09340873522
175	0.09319822161
176	0.09304157716
177	0.09295997468
178	0.09270946925
179	0.09260148947
180	0.09240994604
181	0.09238085867
182	0.09235476954
183	0.09214220595
184	0.09186206824
185	0.09164581166
186	0.09150637277
187	0.09128740844
188	0.09111569926
189	0.0909396924
190	0.09061164798
191	0.09057396458
192	0.09041102766
193	0.09026343483
194	0.09024194085
195	0.09003769501
196	0.09000816819
197	0.08998598315
198	0.08995190174
199	0.08976424679
200	0.08954007187
201	0.08940744587
202	0.08921855305
203	0.08901590505
204	0.08881832509
205	0.08878966727
206	0.08859185789
207	0.08852029046
208	0.0883159767
209	0.08815100195
210	0.08798132807
211	0.08779458913
212	0.08761825735
213	0.08753804922
214	0.08731020324
215	0.08714248446
216	0.08697829876
217	0.08671975283
218	0.08648001738
219	0.08646153652
220	0.08622269027
221	0.08607175267
222	0.08595388025
223	0.08591476751
224	0.08581665663
225	0.08564938465
226	0.08540231175
227	0.08527506607
228	0.08502984711
229	0.08478206018
230	0.08462638478
231	0.08445160041
232	0.08433282474
233	0.08431106481
234	0.08413147937
235	0.08396607906
236	0.08382791395
237	0.0835416788
238	0.0833298728
239	0.0831371158
240	0.0830440765
241	0.08285767375
242	0.08268007152
243	0.08258874437
244	0.08245920865
245	0.08228038636
246	0.08203428018
247	0.08181546995
248	0.08160697221
249	0.08141774659
250	0.08139092022
251	0.08110615821
252	0.08107526725
253	0.0808511053
254	0.08071006167
255	0.08069157219
256	0.08052927543
257	0.08039797927
258	0.08021318602
259	0.08008475468
260	0.07996415674
261	0.07977202671
262	0.07967284752
263	0.07946256977
264	0.07928670901
265	0.07919469545
266	0.0790008614
267	0.07894351747
268	0.07876985818
269	0.07857939871
270	0.07847947538
271	0.07831774661
272	0.07814795922
273	0.07805858348
274	0.07794258187
275	0.07775380071
276	0.07757885601
277	0.07742336546
278	0.07728819006
279	0.07706650541
280	0.07683818018
281	0.07661010535
282	0.07647026234
283	0.07634104867
284	0.07618763041
285	0.07600435117
286	0.07589693891
287	0.07578294858
288	0.07570081802
289	0.07555872163
290	0.07543879173
291	0.07529233332
292	0.0751413702
293	0.07503392679
294	0.0749082984
295	0.07478631641
296	0.07468788981
297	0.07449570895
298	0.07431739107
299	0.07418154486
300	0.07401481704
301	0.0738905532
302	0.07383629161
303	0.07361619685
304	0.073528699
305	0.07339282821
306	0.07323869393
307	0.07314657524
308	0.07303516945
309	0.07291166459
310	0.07280608326
311	0.07270356199
312	0.07257578506
313	0.07242662923
314	0.07237684672
315	0.07225805558
316	0.07213984132
