iter	Passed	Remaining
0	4	13960
1	10	15600
2	17	17825
3	24	18017
4	30	18281
5	37	18548
6	43	18716
7	50	18919
8	58	19447
9	68	20414
10	75	20572
11	83	20876
12	90	20787
13	99	21213
14	105	20999
15	112	20976
16	118	20877
17	125	20836
18	134	21180
19	142	21265
20	150	21320
21	157	21269
22	163	21209
23	170	21086
24	176	21014
25	182	20904
26	189	20871
27	195	20763
28	201	20638
29	208	20604
30	216	20764
31	225	20900
32	234	21064
33	243	21202
34	252	21363
35	261	21495
36	269	21599
37	278	21735
38	287	21822
39	296	21955
40	304	21995
41	314	22123
42	322	22173
43	330	22193
44	338	22210
45	345	22189
46	350	22048
47	358	22017
48	364	21958
49	371	21890
50	377	21806
51	384	21775
52	390	21692
53	396	21639
54	403	21587
55	409	21508
56	415	21471
57	421	21404
58	428	21356
59	434	21310
60	441	21250
61	447	21227
62	454	21210
63	460	21141
64	467	21107
65	473	21062
66	479	20994
67	486	20960
68	492	20929
69	502	21038
70	510	21051
71	517	21053
72	525	21076
73	534	21140
74	547	21370
75	559	21523
76	569	21627
77	577	21640
78	587	21723
79	594	21683
80	601	21667
81	607	21631
82	614	21589
83	626	21745
84	631	21670
85	638	21633
86	644	21591
87	650	21535
88	656	21488
89	662	21433
90	668	21373
91	674	21325
92	680	21274
93	686	21228
94	692	21188
95	699	21147
96	705	21108
97	711	21063
98	718	21041
99	724	21016
100	730	20979
101	737	20951
102	744	20927
103	750	20908
104	758	20904
105	764	20868
106	770	20837
107	777	20816
108	783	20772
109	789	20733
110	795	20694
111	801	20657
112	807	20638
113	813	20602
114	819	20569
115	826	20537
116	831	20500
117	837	20465
118	844	20434
119	849	20396
120	856	20367
121	862	20340
122	868	20307
123	874	20284
124	880	20261
125	887	20242
126	893	20220
127	900	20200
128	906	20177
129	913	20166
130	920	20151
131	926	20135
132	933	20124
133	940	20123
134	947	20117
135	954	20107
136	961	20102
137	968	20084
138	975	20070
139	981	20055
140	988	20043
141	995	20028
142	1001	20007
143	1008	20004
144	1014	19979
145	1021	19969
146	1028	19959
147	1034	19940
148	1041	19923
149	1047	19908
150	1054	19892
151	1060	19878
152	1068	19876
153	1075	19868
154	1081	19843
155	1087	19824
156	1093	19794
157	1099	19775
158	1105	19751
159	1111	19732
160	1119	19736
161	1127	19749
162	1135	19755
163	1142	19748
164	1148	19735
165	1155	19725
166	1162	19715
167	1169	19707
168	1176	19705
169	1183	19694
170	1189	19679
171	1196	19665
172	1203	19665
173	1210	19657
174	1217	19651
175	1224	19641
176	1230	19624
177	1236	19608
178	1243	19594
179	1249	19581
180	1256	19562
181	1262	19547
182	1268	19531
183	1275	19517
184	1281	19505
185	1288	19499
186	1296	19498
187	1303	19489
188	1310	19485
189	1317	19484
190	1324	19486
191	1332	19488
192	1339	19475
193	1345	19460
194	1351	19446
195	1358	19436
196	1364	19418
197	1371	19407
198	1377	19393
199	1384	19389
200	1393	19409
201	1400	19404
202	1408	19400
203	1415	19397
204	1422	19394
205	1429	19386
206	1436	19379
207	1443	19374
208	1451	19380
209	1458	19371
210	1465	19373
211	1472	19371
212	1480	19368
213	1487	19361
214	1493	19352
215	1501	19347
216	1508	19348
217	1516	19348
218	1523	19345
219	1530	19340
220	1537	19338
221	1545	19335
222	1553	19340
223	1561	19346
224	1568	19347
225	1576	19354
226	1584	19353
227	1591	19351
228	1599	19348
229	1606	19344
230	1613	19337
231	1620	19339
232	1628	19336
233	1636	19339
234	1643	19342
235	1652	19348
236	1658	19338
237	1665	19329
238	1672	19323
239	1679	19316
240	1686	19311
241	1693	19300
242	1700	19296
243	1707	19290
244	1715	19289
245	1722	19287
246	1730	19287
247	1738	19294
248	1747	19301
249	1758	19346
250	1768	19368
251	1776	19372
252	1785	19387
253	1794	19400
254	1803	19413
255	1810	19411
256	1820	19425
257	1827	19421
258	1844	19521
259	1855	19557
260	1865	19578
261	1875	19595
262	1884	19615
263	1892	19613
264	1899	19609
265	1907	19609
266	1917	19627
267	1925	19623
268	1933	19632
269	1941	19631
270	1949	19634
271	1957	19630
272	1966	19638
273	1973	19632
274	1981	19637
275	1988	19629
276	1997	19635
277	2005	19633
278	2013	19633
279	2020	19629
280	2028	19631
281	2036	19628
282	2057	19756
283	2065	19752
284	2073	19750
285	2081	19748
286	2088	19746
287	2096	19745
288	2104	19741
289	2111	19734
290	2118	19726
291	2126	19721
292	2133	19710
293	2140	19701
294	2147	19691
295	2154	19681
296	2161	19672
297	2168	19666
298	2176	19665
299	2184	19658
300	2191	19650
301	2198	19638
302	2205	19632
303	2212	19623
304	2220	19618
305	2227	19609
306	2234	19599
307	2241	19589
308	2248	19580
309	2255	19573
310	2263	19568
311	2270	19559
