iter	Passed	Remaining
0	4	14005
1	9	14949
2	15	15284
3	20	15724
4	26	16123
5	32	16419
6	39	16881
7	45	17020
8	51	17271
9	58	17584
10	65	17816
11	72	18046
12	79	18157
13	85	18229
14	91	18241
15	97	18275
16	104	18403
17	111	18548
18	118	18646
19	126	18827
20	133	18981
21	140	18985
22	146	18959
23	152	18941
24	158	18864
25	164	18846
26	170	18821
27	176	18752
28	182	18734
29	188	18688
30	194	18672
31	200	18638
32	206	18582
33	212	18572
34	219	18574
35	225	18538
36	231	18547
37	237	18525
38	243	18499
39	249	18496
40	255	18467
41	261	18440
42	267	18408
43	274	18408
44	280	18398
45	285	18357
46	290	18251
47	296	18233
48	302	18225
49	308	18203
50	314	18184
51	320	18189
52	326	18181
53	332	18162
54	339	18158
55	345	18151
56	351	18127
57	357	18127
58	363	18117
59	369	18090
60	375	18070
61	380	18045
62	386	18023
63	392	18015
64	398	17998
65	404	17984
66	410	17981
67	416	17971
68	422	17946
69	428	17943
70	434	17938
71	440	17922
72	446	17916
73	452	17902
74	458	17883
75	464	17881
76	470	17874
77	476	17858
78	482	17845
79	488	17839
80	494	17821
81	500	17814
82	506	17808
83	512	17795
84	518	17792
85	524	17782
86	530	17767
87	536	17765
88	542	17758
89	548	17745
90	554	17740
91	561	17740
92	566	17720
93	572	17709
94	578	17699
95	584	17685
96	590	17683
97	596	17673
98	602	17664
99	608	17648
100	614	17646
101	620	17642
102	627	17645
103	633	17640
104	639	17635
105	645	17620
106	651	17618
107	657	17607
108	663	17591
109	669	17594
110	675	17583
111	681	17575
112	687	17577
113	693	17566
114	699	17551
115	706	17552
116	711	17541
117	717	17523
118	723	17521
119	729	17511
120	735	17505
121	741	17501
122	748	17498
123	753	17484
124	759	17476
125	765	17464
126	771	17454
127	777	17453
128	784	17448
129	789	17437
130	796	17434
131	802	17425
132	807	17410
133	813	17404
134	819	17397
135	825	17386
136	831	17378
137	837	17369
138	843	17360
139	849	17361
140	855	17354
141	861	17345
142	868	17344
143	874	17348
144	881	17349
145	888	17367
146	895	17383
147	903	17404
148	911	17432
149	918	17457
150	926	17471
151	933	17484
152	940	17496
153	947	17504
154	953	17497
155	959	17499
156	966	17497
157	973	17518
158	980	17521
159	987	17529
160	994	17532
161	1000	17535
162	1008	17552
163	1014	17549
164	1021	17543
165	1026	17528
166	1032	17518
167	1038	17511
168	1044	17499
169	1051	17500
170	1057	17490
171	1063	17478
172	1069	17473
173	1075	17464
174	1081	17458
175	1087	17448
176	1093	17441
177	1099	17432
178	1105	17421
179	1111	17413
180	1117	17404
181	1123	17395
182	1129	17392
183	1136	17389
184	1141	17373
185	1148	17368
186	1154	17362
187	1160	17352
188	1166	17345
189	1172	17334
190	1178	17329
191	1184	17319
192	1190	17313
193	1196	17305
194	1202	17295
195	1208	17286
196	1214	17283
197	1220	17273
198	1226	17266
199	1232	17258
200	1238	17251
201	1244	17242
202	1250	17231
203	1256	17224
204	1262	17215
205	1268	17207
206	1274	17202
207	1280	17193
208	1286	17183
209	1292	17175
210	1298	17167
211	1304	17161
212	1310	17152
213	1316	17144
214	1322	17136
215	1328	17125
216	1334	17121
217	1341	17117
218	1347	17108
219	1353	17102
220	1359	17097
221	1365	17085
222	1371	17081
223	1377	17075
224	1383	17068
225	1389	17060
226	1395	17047
227	1401	17041
228	1407	17034
229	1413	17023
230	1419	17019
231	1425	17009
232	1431	16998
233	1437	16990
234	1443	16982
235	1449	16971
236	1455	16966
237	1461	16961
238	1467	16952
239	1473	16947
240	1479	16939
241	1486	16937
242	1492	16937
243	1498	16930
244	1504	16921
245	1510	16913
246	1516	16907
247	1522	16898
248	1528	16892
249	1535	16885
250	1540	16874
251	1546	16867
252	1552	16861
253	1559	16856
254	1565	16847
255	1570	16837
256	1576	16830
257	1582	16823
258	1588	16814
259	1595	16809
260	1601	16802
261	1607	16800
262	1613	16795
263	1620	16789
264	1625	16780
265	1632	16776
266	1638	16769
267	1644	16763
268	1651	16764
269	1657	16757
270	1663	16749
271	1669	16741
272	1675	16735
273	1681	16724
274	1687	16720
275	1693	16712
276	1699	16705
277	1705	16701
278	1711	16693
279	1717	16682
280	1723	16678
281	1730	16674
282	1735	16666
283	1742	16661
284	1748	16654
285	1754	16645
286	1760	16641
287	1766	16632
288	1772	16630
289	1779	16624
290	1784	16616
291	1791	16612
292	1797	16605
293	1803	16596
294	1809	16590
295	1815	16583
296	1821	16574
297	1827	16568
298	1833	16564
299	1839	16555
300	1845	16547
301	1851	16542
302	1857	16532
303	1863	16527
304	1869	16518
305	1875	16509
306	1881	16502
307	1887	16494
308	1893	16486
309	1899	16484
310	1905	16477
311	1911	16470
312	1917	16463
313	1923	16454
314	1929	16444
315	1935	16438
316	1941	16431
317	1947	16421
318	1953	16414
319	1959	16409
320	1965	16401
321	1971	16395
322	1977	16389
323	1983	16380
324	1989	16373
325	1995	16365
326	2000	16356
327	2007	16352
328	2013	16344
329	2019	16337
330	2025	16332
331	2031	16326
332	2037	16319
333	2043	16310
334	2049	16304
335	2055	16296
336	2062	16298
337	2068	16292
338	2075	16290
339	2082	16291
340	2089	16290
341	2096	16291
342	2103	16290
343	2109	16288
344	2116	16287
345	2123	16286
346	2129	16281
347	2136	16280
348	2142	16278
349	2149	16272
350	2155	16268
351	2161	16262
352	2168	16260
353	2174	16251
354	2180	16243
355	2186	16239
356	2192	16233
357	2198	16225
358	2204	16220
359	2210	16211
360	2216	16204
361	2222	16198
