iter	Passed	Remaining
0	6	18647
1	13	20914
2	22	22053
3	30	22675
4	38	23101
5	47	23552
6	55	23736
7	64	24082
8	72	24084
9	80	24135
10	89	24334
11	97	24258
12	105	24350
13	114	24349
14	122	24300
15	130	24341
16	139	24473
17	148	24531
18	156	24566
19	164	24549
20	173	24576
21	181	24588
22	189	24586
23	198	24648
24	207	24636
25	215	24662
26	224	24708
27	233	24803
28	241	24785
29	252	24983
30	261	25006
31	269	25033
32	278	25050
33	287	25044
34	295	25038
35	304	25040
36	312	25020
37	321	25062
38	330	25080
39	338	25055
40	347	25085
41	356	25132
42	364	25090
43	373	25092
44	381	25061
45	390	25075
46	398	25063
47	407	25061
48	416	25091
49	425	25087
50	433	25065
51	442	25092
52	451	25078
53	459	25048
54	467	25043
55	476	25035
56	484	25009
57	494	25059
58	502	25046
59	510	24999
60	518	24960
61	526	24930
62	533	24873
63	541	24839
64	549	24795
65	557	24773
66	565	24740
67	572	24683
68	580	24648
69	587	24607
70	595	24583
71	605	24609
72	613	24581
73	620	24533
74	628	24522
75	637	24512
76	644	24477
77	654	24515
78	662	24492
79	670	24489
80	679	24472
81	686	24446
82	695	24449
83	703	24435
84	712	24423
85	720	24401
86	729	24422
87	738	24437
88	748	24486
89	758	24526
90	768	24566
91	778	24604
92	788	24636
93	797	24665
94	808	24738
95	819	24780
96	828	24795
97	833	24693
98	842	24689
99	852	24725
100	863	24784
101	873	24827
102	883	24854
103	894	24919
104	906	25003
105	918	25071
106	928	25110
107	939	25164
108	950	25208
109	959	25216
110	969	25230
111	978	25238
112	988	25253
113	997	25264
114	1007	25270
115	1017	25294
116	1028	25348
117	1038	25354
118	1047	25368
119	1057	25375
120	1067	25396
121	1077	25419
122	1087	25426
123	1095	25409
124	1101	25344
125	1110	25332
126	1119	25318
127	1127	25305
128	1137	25324
129	1146	25307
130	1155	25300
131	1163	25278
132	1171	25262
133	1180	25250
134	1188	25231
135	1196	25201
136	1205	25193
137	1213	25175
138	1222	25165
139	1230	25140
140	1238	25111
141	1247	25102
142	1255	25091
143	1263	25057
144	1270	25020
145	1279	25011
146	1287	24985
147	1295	24963
148	1303	24937
149	1310	24908
150	1319	24893
151	1326	24862
152	1334	24829
153	1341	24800
154	1349	24769
155	1356	24732
156	1363	24699
157	1371	24669
158	1378	24637
159	1386	24613
160	1394	24583
161	1401	24556
162	1409	24537
163	1417	24510
164	1425	24485
165	1432	24458
166	1439	24427
167	1447	24407
168	1455	24378
169	1462	24350
170	1470	24327
171	1477	24297
172	1485	24271
173	1492	24243
174	1500	24214
175	1507	24186
176	1515	24165
177	1522	24132
178	1529	24107
179	1537	24084
180	1544	24057
181	1552	24032
182	1559	24012
183	1567	23988
184	1576	23984
185	1584	23965
186	1592	23954
187	1600	23943
188	1609	23932
189	1616	23905
190	1624	23884
191	1631	23860
192	1638	23829
193	1645	23805
194	1653	23788
195	1661	23763
196	1668	23741
197	1675	23716
198	1683	23693
199	1691	23676
200	1699	23661
201	1706	23642
202	1714	23621
203	1721	23601
204	1729	23580
205	1737	23563
206	1744	23543
207	1752	23529
208	1761	23517
209	1769	23502
210	1776	23481
211	1784	23467
212	1793	23461
213	1801	23455
214	1809	23442
215	1816	23419
216	1824	23402
217	1832	23382
218	1839	23365
219	1847	23345
220	1855	23328
221	1862	23309
222	1870	23287
223	1877	23266
224	1885	23252
225	1892	23231
226	1900	23212
227	1908	23199
228	1915	23183
229	1924	23172
230	1931	23155
231	1939	23134
232	1946	23117
233	1954	23103
234	1961	23082
235	1969	23068
236	1977	23049
237	1984	23030
238	1992	23017
239	2000	23004
240	2008	22996
241	2016	22982
242	2024	22971
243	2032	22955
244	2039	22939
245	2046	22916
246	2054	22899
247	2062	22881
248	2069	22861
249	2076	22844
250	2084	22830
251	2091	22809
252	2099	22797
253	2107	22779
254	2114	22764
255	2122	22751
256	2130	22739
257	2137	22719
258	2145	22706
259	2153	22694
260	2160	22676
261	2168	22661
262	2175	22642
263	2183	22628
264	2191	22615
265	2198	22594
266	2205	22575
267	2212	22559
268	2220	22546
269	2229	22543
270	2237	22528
271	2244	22509
272	2251	22493
273	2259	22477
274	2266	22455
275	2273	22441
276	2281	22424
277	2288	22407
278	2296	22395
279	2303	22379
280	2310	22359
281	2318	22343
282	2325	22331
283	2333	22316
284	2341	22305
285	2348	22288
286	2356	22277
287	2363	22258
288	2371	22247
289	2379	22231
290	2386	22215
291	2394	22203
292	2401	22188
293	2408	22170
294	2416	22158
295	2424	22144
296	2431	22130
297	2441	22133
298	2448	22118
299	2456	22106
300	2464	22097
301	2471	22084
302	2479	22074
303	2487	22061
304	2495	22046
305	2502	22035
306	2510	22022
307	2518	22012
308	2526	22001
309	2533	21987
310	2541	21978
311	2549	21965
312	2557	21953
313	2564	21940
314	2572	21923
315	2579	21912
316	2587	21898
317	2595	21888
318	2602	21876
319	2610	21860
320	2618	21850
321	2625	21838
322	2633	21823
323	2640	21809
324	2648	21796
325	2656	21791
326	2664	21777
327	2671	21764
328	2679	21751
329	2686	21733
330	2693	21722
331	2701	21710
332	2708	21694
333	2716	21681
334	2723	21668
335	2731	21654
336	2739	21644
337	2747	21634
338	2754	21623
339	2762	21613
340	2770	21603
341	2778	21592
342	2786	21588
343	2794	21575
344	2803	21572
345	2810	21561
346	2818	21546
347	2825	21535
348	2833	21521
349	2840	21507
350	2848	21495
351	2857	21493
352	2874	21551
353	2882	21547
354	2892	21552
355	2901	21551
356	2911	21554
357	2920	21554
358	2929	21552
359	2938	21549
360	2947	21549
361	2957	21552
362	2965	21544
363	2974	21540
364	2982	21533
365	2990	21523
366	2999	21517
367	3006	21503
368	3013	21487
369	3021	21474
370	3028	21461
371	3035	21446
372	3043	21435
373	3050	21420
374	3058	21407
375	3065	21394
376	3073	21381
377	3080	21368
378	3088	21355
379	3095	21344
380	3102	21326
381	3109	21311
382	3116	21297
383	3124	21288
384	3132	21276
385	3140	21264
386	3147	21253
387	3155	21240
388	3162	21225
389	3169	21212
390	3177	21201
391	3184	21188
392	3192	21177
393	3199	21161
394	3206	21145
395	3213	21133
396	3220	21116
397	3228	21105
398	3235	21093
399	3242	21079
400	3250	21069
401	3258	21057
402	3265	21043
403	3272	21029
404	3279	21015
405	3286	20999
406	3294	20988
407	3301	20975
408	3308	20961
409	3316	20950
410	3323	20937
411	3331	20927
412	3339	20916
413	3346	20903
414	3353	20890
415	3361	20877
416	3368	20865
417	3375	20852
418	3383	20841
419	3391	20831
420	3398	20819
421	3406	20807
422	3413	20798
423	3421	20785
424	3428	20774
425	3436	20762
426	3444	20754
427	3451	20743
428	3459	20733
429	3467	20721
430	3474	20711
431	3482	20700
432	3489	20687
433	3497	20675
434	3504	20662
435	3511	20649
436	3518	20636
437	3525	20624
438	3533	20612
439	3540	20601
440	3548	20591
441	3556	20582
442	3563	20570
443	3570	20557
444	3578	20545
445	3586	20535
446	3593	20523
447	3601	20514
448	3608	20503
449	3616	20492
450	3624	20482
451	3631	20470
452	3638	20457
453	3645	20445
454	3653	20433
455	3660	20424
456	3668	20415
457	3676	20403
458	3683	20392
459	3690	20379
460	3698	20368
461	3705	20358
462	3713	20348
463	3720	20336
464	3728	20326
465	3736	20316
466	3743	20303
467	3751	20295
468	3758	20282
469	3766	20273
470	3773	20263
471	3781	20254
472	3788	20241
473	3796	20231
474	3804	20222
475	3811	20210
476	3819	20201
477	3827	20192
478	3834	20182
479	3842	20172
480	3850	20162
481	3857	20150
482	3864	20140
483	3872	20129
484	3880	20121
485	3888	20115
486	3896	20107
487	3903	20095
488	3911	20085
489	3918	20073
490	3927	20066
