iter	RMSE
0	0.3867632156
1	0.3755168506
2	0.3634864031
3	0.3527691383
4	0.3425940128
5	0.3321695432
6	0.3225253058
7	0.3133247804
8	0.3049520245
9	0.2956602774
10	0.2869566819
11	0.2788680161
12	0.2713444851
13	0.2637674913
14	0.2573804331
15	0.2506049009
16	0.2446275486
17	0.239111878
18	0.233039681
19	0.2283838477
20	0.2236904617
21	0.2187002174
22	0.2136754892
23	0.2095455313
24	0.2054554265
25	0.2016194913
26	0.1979598795
27	0.1946688936
28	0.1909620262
29	0.1874771598
30	0.184296526
31	0.1811452926
32	0.1783135957
33	0.1757663188
34	0.1732805191
35	0.1707992229
36	0.1686160385
37	0.166748116
38	0.1643972135
39	0.1622405063
40	0.1601154643
41	0.1580122006
42	0.1561396256
43	0.1543542745
44	0.1526749637
45	0.1512243461
46	0.1497109207
47	0.1478701942
48	0.1463116811
49	0.144982421
50	0.1436579577
51	0.1425602175
52	0.1412139606
53	0.1401619063
54	0.138615988
55	0.1375754349
56	0.1363811546
57	0.1351851391
58	0.1341693433
59	0.1329823795
60	0.1318908057
61	0.1309515071
62	0.130018635
63	0.1291275359
64	0.1283779164
65	0.1274898
66	0.1267576732
67	0.1259082595
68	0.1251404766
69	0.1246564069
70	0.1238892127
71	0.1231780439
72	0.1225179088
73	0.1218908785
74	0.121182777
75	0.1206155159
76	0.1199410955
77	0.1195050143
78	0.1190363223
79	0.1185448762
80	0.1179045388
81	0.1174083313
82	0.1169026537
83	0.1163873558
84	0.115850487
85	0.1154626542
86	0.1148329021
87	0.1144756648
88	0.1140805903
89	0.1135965549
90	0.1130319169
91	0.1129360319
92	0.1126114726
93	0.112221312
94	0.1117818433
95	0.1114172895
96	0.1109002744
97	0.1106833763
98	0.110224727
99	0.1099097064
100	0.1093548914
101	0.1090054594
102	0.1087185334
103	0.1085548222
104	0.1083011603
105	0.1081195506
106	0.1074987678
107	0.1071640384
108	0.1068160954
109	0.1065601329
110	0.1063377607
111	0.1059851123
112	0.1057209818
113	0.1053928932
114	0.1051889474
115	0.1049322271
116	0.1045180739
117	0.1042975755
118	0.1039580043
119	0.1037773578
120	0.1036237044
121	0.1035335852
122	0.1032358169
123	0.1030111599
124	0.1029489218
125	0.1026101751
126	0.1022688687
127	0.1017645804
128	0.1015546531
129	0.101202331
130	0.1009271487
131	0.1007595314
132	0.1003929367
133	0.1002273482
134	0.1001838943
135	0.09971549351
136	0.09966578934
137	0.09938168172
138	0.09906781495
139	0.09896026779
140	0.09890518158
141	0.09864551959
142	0.09842343352
143	0.09816098729
144	0.09802248388
145	0.09794116897
146	0.09769540017
147	0.09748792195
148	0.09705500964
149	0.09679141744
150	0.09663136763
151	0.09658708971
152	0.09643006705
153	0.09604531007
154	0.09590895685
