iter	Passed	Remaining
0	8	4101
1	13	3391
2	17	2977
3	21	2641
4	24	2442
5	27	2304
6	31	2219
7	34	2133
8	37	2062
9	41	2016
10	44	1982
11	48	1961
12	51	1937
13	55	1917
14	58	1898
15	62	1894
16	66	1890
17	70	1885
18	74	1880
19	78	1875
20	82	1871
21	85	1865
22	90	1867
23	94	1872
24	98	1862
25	102	1862
26	105	1855
27	109	1848
28	113	1844
29	117	1835
30	121	1831
31	123	1808
32	127	1803
33	131	1797
34	134	1793
35	138	1790
36	142	1786
37	146	1781
38	150	1775
39	153	1765
40	156	1754
41	160	1745
42	163	1739
43	166	1729
44	170	1724
45	174	1719
46	177	1712
47	181	1706
48	184	1698
49	187	1690
50	191	1684
51	194	1677
52	198	1670
53	201	1662
54	204	1657
55	208	1652
56	211	1645
57	215	1642
58	219	1639
59	223	1640
60	227	1640
61	232	1640
62	236	1638
63	240	1636
64	244	1633
65	247	1628
66	251	1623
67	254	1619
68	258	1614
69	261	1609
70	265	1604
71	269	1600
72	273	1597
73	276	1594
74	280	1589
75	284	1586
76	288	1582
77	291	1579
78	295	1576
79	299	1573
80	303	1569
81	306	1563
82	309	1557
83	313	1552
84	316	1546
85	319	1540
86	323	1535
87	326	1530
88	330	1524
89	333	1520
90	336	1514
91	340	1508
92	343	1503
93	346	1498
94	350	1493
95	353	1488
96	356	1482
97	360	1477
98	363	1472
99	366	1467
100	370	1462
101	373	1457
102	376	1452
103	380	1447
104	383	1444
105	387	1439
106	390	1435
107	394	1430
108	397	1426
109	401	1422
110	404	1417
111	407	1413
112	411	1409
113	414	1405
114	418	1400
115	421	1395
116	424	1391
117	428	1387
118	431	1382
119	435	1378
120	438	1374
121	442	1370
122	445	1365
123	449	1362
124	452	1357
125	455	1352
126	459	1348
127	462	1344
128	466	1340
129	469	1335
130	472	1331
131	476	1327
132	479	1323
133	482	1318
134	486	1314
135	489	1310
136	493	1307
137	499	1309
138	504	1310
139	509	1309
140	514	1309
141	518	1306
142	521	1302
143	525	1298
144	528	1294
145	532	1290
146	535	1286
147	539	1283
148	543	1280
149	546	1276
150	550	1272
151	554	1268
152	558	1265
153	562	1263
154	565	1259
155	569	1255
156	572	1251
157	576	1247
158	580	1244
159	583	1240
160	587	1236
161	590	1232
162	594	1228
163	597	1223
164	600	1219
165	604	1215
166	607	1210
167	610	1206
168	613	1202
169	617	1197
170	620	1193
171	624	1190
172	627	1186
173	630	1182
174	634	1177
175	637	1173
176	640	1169
177	644	1165
178	648	1162
179	651	1158
180	655	1155
181	659	1151
182	662	1147
183	665	1143
184	669	1139
185	672	1136
186	676	1132
187	679	1127
188	682	1123
189	686	1119
190	689	1116
191	693	1111
192	696	1107
193	699	1103
194	703	1099
195	706	1096
196	710	1092
197	713	1088
198	716	1084
199	720	1080
200	724	1077
201	728	1074
202	731	1070
203	735	1067
204	738	1062
205	741	1058
206	744	1054
207	748	1050
208	751	1046
209	754	1042
210	757	1038
211	761	1033
212	765	1031
213	768	1027
214	772	1023
215	775	1019
216	779	1015
217	782	1012
218	786	1008
219	789	1004
220	792	1001
221	796	997
222	799	993
223	802	989
224	806	985
225	809	981
226	813	977
227	816	973
228	819	969
229	823	966
230	826	962
231	829	958
232	833	954
233	836	950
234	840	947
235	843	944
236	847	939
237	850	936
238	853	932
239	856	928
240	860	924
241	863	920
242	866	916
243	870	913
244	873	909
245	876	905
246	880	901
247	883	897
248	886	893
249	890	890
250	893	886
251	896	882
252	900	879
253	903	875
254	907	871
255	910	868
256	914	864
257	918	861
258	922	858
259	925	854
260	929	851
261	933	847
262	937	844
263	940	841
264	944	837
265	948	834
266	951	830
267	955	827
268	959	823
269	963	820
270	967	817
271	970	813
272	973	809
273	976	805
274	980	801
275	983	798
276	986	794
277	990	790
278	993	787
279	996	783
280	1000	779
281	1003	775
282	1007	772
283	1010	768
284	1013	764
285	1017	761
286	1020	757
287	1023	753
288	1027	749
289	1030	746
290	1034	742
291	1037	738
292	1040	735
293	1044	731
294	1048	728
295	1052	725
296	1055	721
297	1058	717
298	1061	713
299	1065	710
300	1068	706
301	1071	702
302	1074	698
303	1078	695
304	1081	691
305	1084	687
306	1088	684
307	1091	680
308	1094	676
309	1098	673
310	1101	669
311	1104	665
312	1108	662
313	1111	658
314	1115	655
315	1118	651
316	1121	647
317	1127	645
318	1130	641
319	1134	638
320	1137	634
321	1141	630
322	1144	627
323	1148	623
324	1152	620
325	1155	616
326	1158	613
327	1162	609
328	1166	606
329	1169	602
330	1173	599
331	1176	595
332	1180	591
333	1183	588
334	1187	585
335	1191	581
336	1195	578
337	1199	574
338	1202	571
339	1206	567
340	1209	563
341	1212	560
342	1216	556
343	1219	553
344	1223	549
345	1226	546
346	1230	542
347	1234	539
348	1238	535
349	1242	532
350	1245	528
351	1249	525
352	1252	521
353	1255	517
354	1259	514
355	1262	510
356	1265	507
357	1269	503
358	1273	500
359	1277	496
360	1280	493
361	1283	489
362	1287	485
363	1290	482
364	1294	478
365	1297	475
366	1300	471
367	1304	467
368	1308	464
369	1311	460
370	1315	457
371	1318	453
372	1322	450
373	1326	446
374	1329	443
375	1332	439
376	1335	435
377	1339	432
378	1342	428
379	1346	425
380	1349	421
381	1352	417
382	1356	414
383	1359	410
384	1363	407
385	1366	403
386	1370	400
387	1374	396
388	1377	393
389	1380	389
390	1384	386
391	1388	382
392	1391	378
393	1395	375
394	1398	371
395	1402	368
396	1405	364
397	1408	361
398	1412	357
399	1415	353
400	1419	350
401	1422	346
402	1425	343
403	1429	339
404	1432	336
405	1435	332
406	1438	328
407	1442	325
408	1445	321
409	1448	318
410	1452	314
411	1455	310
412	1458	307
413	1462	303
414	1465	300
415	1468	296
416	1472	293
417	1476	289
418	1479	286
419	1482	282
420	1486	278
421	1489	275
422	1493	271
423	1496	268
424	1499	264
425	1503	261
426	1506	257
427	1510	254
428	1513	250
429	1517	247
430	1521	243
431	1524	240
432	1528	236
433	1531	232
434	1534	229
435	1537	225
436	1540	222
437	1544	218
438	1547	215
