iter	Passed	Remaining
0	3	1549
1	6	1540
2	9	1505
3	11	1470
4	14	1482
5	18	1482
6	21	1497
7	24	1510
8	27	1513
9	30	1505
10	33	1504
11	36	1497
12	40	1507
13	43	1518
14	46	1514
15	50	1516
16	53	1517
17	57	1529
18	60	1544
19	64	1537
20	67	1529
21	70	1527
22	73	1525
23	76	1519
24	79	1516
25	83	1513
26	86	1511
27	89	1508
28	92	1508
29	95	1502
30	99	1502
31	101	1486
32	104	1483
33	107	1479
34	111	1478
35	114	1476
36	118	1479
37	121	1477
38	124	1476
39	128	1475
40	131	1476
41	135	1475
42	138	1475
43	142	1472
44	145	1469
45	148	1469
46	152	1465
47	155	1461
48	158	1460
49	162	1459
50	165	1457
51	168	1453
52	171	1449
53	175	1446
54	178	1442
55	181	1441
56	185	1437
57	188	1434
58	191	1431
59	194	1426
60	197	1422
61	201	1420
62	204	1416
63	207	1414
64	210	1410
65	213	1407
66	217	1403
67	220	1400
68	223	1396
69	226	1393
70	230	1390
71	233	1386
72	236	1384
73	240	1383
74	243	1379
75	246	1375
76	249	1372
77	253	1370
78	256	1368
79	260	1365
80	263	1362
81	267	1361
82	270	1357
83	273	1355
84	276	1351
85	280	1348
86	283	1345
87	286	1342
88	289	1337
89	292	1334
90	296	1332
91	299	1329
92	303	1326
93	306	1323
94	309	1319
95	313	1321
96	317	1317
97	320	1313
98	323	1308
99	326	1306
100	330	1305
101	334	1304
102	337	1301
103	341	1298
104	344	1294
105	347	1291
106	350	1287
107	353	1283
108	357	1281
109	360	1277
110	363	1273
111	366	1270
112	369	1266
113	372	1262
114	376	1259
115	379	1256
116	382	1252
117	385	1249
118	389	1245
119	392	1242
120	395	1239
121	398	1236
122	402	1232
123	405	1229
124	408	1226
125	412	1223
126	415	1220
127	418	1217
128	422	1213
129	425	1211
130	428	1207
131	432	1204
132	435	1201
133	438	1198
134	441	1194
135	445	1191
136	448	1188
137	451	1184
138	454	1180
139	457	1176
140	460	1173
141	464	1170
142	467	1166
143	470	1163
144	473	1160
145	477	1157
146	480	1153
147	483	1150
148	486	1147
149	490	1143
150	493	1140
151	496	1136
152	499	1133
153	503	1130
154	506	1127
155	510	1124
156	513	1121
157	516	1118
158	520	1115
159	523	1112
160	526	1109
161	530	1106
162	533	1102
163	536	1099
164	539	1096
165	543	1092
166	546	1089
167	549	1085
168	552	1082
169	556	1079
170	559	1076
171	562	1072
172	566	1069
173	569	1066
174	572	1063
175	575	1060
176	579	1057
177	583	1054
178	586	1051
179	589	1048
180	592	1044
181	596	1041
182	599	1038
183	602	1035
184	605	1031
185	609	1028
186	613	1026
187	616	1022
188	619	1019
189	622	1015
190	625	1012
191	628	1008
192	632	1005
193	635	1002
194	638	998
195	641	995
196	644	991
197	647	988
198	650	984
199	654	981
200	657	977
201	660	974
202	663	971
203	667	968
204	670	964
205	673	961
206	677	958
207	680	955
208	684	952
209	687	949
210	690	946
211	694	943
212	697	939
213	701	937
214	704	933
215	707	930
216	711	927
217	714	924
218	717	921
219	721	917
220	724	914
221	727	910
222	730	907
223	733	904
224	737	900
225	740	897
226	743	894
227	747	891
228	750	888
229	753	884
230	756	881
231	760	878
232	763	874
233	766	870
234	769	867
235	772	864
236	775	860
237	778	856
238	781	853
239	784	849
240	787	846
241	791	843
242	794	840
243	797	837
244	801	833
245	804	830
246	807	827
247	811	824
248	814	820
249	817	817
250	820	814
251	824	811
252	827	808
253	831	805
254	835	802
255	838	799
256	841	795
257	844	792
258	848	789
259	851	786
260	855	782
261	858	779
262	861	776
263	864	773
264	868	770
265	871	766
266	875	763
267	878	760
268	881	756
269	884	753
270	887	750
271	891	746
272	894	743
273	897	740
274	900	737
275	904	733
276	908	731
277	911	728
278	915	725
279	919	722
280	923	719
281	926	716
282	930	713
283	933	710
284	937	706
285	941	704
286	944	701
287	948	697
288	951	694
289	954	691
290	957	687
291	960	684
292	964	681
293	967	677
294	970	674
295	973	670
296	976	667
297	979	664
298	983	660
299	986	657
300	989	653
301	992	650
302	995	647
303	998	644
304	1001	640
305	1005	637
306	1008	634
307	1011	630
308	1015	627
309	1018	624
310	1022	621
311	1025	617
312	1029	614
313	1032	611
314	1035	608
315	1038	604
316	1042	601
317	1045	598
318	1048	595
319	1052	591
320	1055	588
321	1058	585
