iter	Passed	Remaining
0	5	17230
1	12	18010
2	18	18207
3	24	18172
4	30	18199
5	36	18281
6	43	18423
7	48	18317
8	55	18379
9	61	18422
10	67	18442
11	74	18481
12	80	18452
13	87	18615
14	93	18637
15	99	18635
16	106	18728
17	112	18714
18	118	18639
19	124	18615
20	131	18652
21	137	18614
22	143	18546
23	149	18569
24	155	18553
25	162	18562
26	168	18525
27	175	18581
28	181	18633
29	187	18592
30	194	18588
31	200	18563
32	206	18555
33	213	18613
34	220	18707
35	227	18732
36	234	18797
37	241	18799
38	247	18806
39	254	18823
40	261	18843
41	267	18825
42	273	18825
43	279	18788
44	285	18748
45	291	18720
46	297	18717
47	304	18736
48	311	18730
49	316	18689
50	322	18623
51	328	18595
52	333	18558
53	339	18508
54	345	18493
55	351	18461
56	356	18416
57	362	18389
58	368	18366
59	374	18334
60	379	18305
61	385	18285
62	391	18253
63	397	18232
64	403	18207
65	408	18174
66	414	18158
67	420	18136
68	426	18103
69	432	18094
70	438	18077
71	443	18049
72	449	18037
73	455	18006
74	461	17991
75	467	17994
76	471	17883
77	476	17849
78	482	17842
79	487	17810
80	493	17792
81	499	17758
82	504	17737
83	510	17716
84	515	17687
85	521	17667
86	527	17645
87	532	17621
88	538	17603
89	543	17580
90	549	17563
91	555	17546
92	560	17518
93	565	17494
94	571	17477
95	576	17446
96	582	17428
97	587	17406
98	593	17381
99	598	17365
100	604	17345
101	609	17323
102	615	17307
103	620	17292
104	626	17261
105	631	17249
106	637	17231
107	642	17202
108	648	17190
109	653	17173
110	658	17150
111	664	17135
112	670	17124
113	675	17104
114	681	17091
115	686	17072
116	692	17054
117	697	17039
118	702	17015
119	708	17005
120	714	16990
121	719	16968
122	724	16955
123	730	16935
124	735	16924
125	741	16915
126	747	16905
127	753	16898
128	758	16890
129	764	16874
130	770	16866
131	775	16860
132	781	16844
133	787	16841
134	793	16832
135	798	16823
136	804	16812
137	810	16806
138	814	16766
139	819	16750
140	825	16745
141	831	16738
142	837	16731
143	843	16722
144	848	16713
145	855	16714
146	861	16717
147	867	16712
148	873	16710
149	879	16703
150	884	16696
151	890	16692
152	896	16688
153	902	16684
154	908	16681
155	914	16679
156	920	16676
157	927	16674
158	933	16673
159	939	16679
160	946	16694
161	952	16685
162	958	16685
163	965	16688
164	971	16687
165	977	16690
166	983	16683
167	989	16675
168	995	16667
169	1001	16669
170	1007	16670
171	1013	16670
172	1019	16667
173	1025	16654
174	1031	16651
175	1037	16642
176	1042	16632
177	1049	16631
178	1054	16620
179	1060	16614
180	1066	16604
181	1072	16601
182	1077	16592
183	1083	16577
184	1088	16569
185	1094	16558
186	1100	16550
187	1106	16544
188	1112	16539
189	1118	16541
190	1124	16534
191	1129	16525
192	1135	16515
193	1141	16509
194	1147	16507
195	1153	16497
196	1158	16488
197	1164	16481
198	1169	16467
199	1175	16459
200	1181	16452
201	1186	16437
202	1192	16427
203	1197	16417
204	1203	16403
