iter	Passed	Remaining
0	5	15608
1	11	16598
2	17	17067
3	23	17780
4	30	18100
5	36	18272
6	43	18446
7	49	18520
8	56	18677
9	62	18714
10	69	18888
11	76	19055
12	83	19190
13	90	19227
14	97	19310
15	103	19347
16	110	19356
17	117	19451
18	124	19511
19	131	19589
20	139	19841
21	147	19900
22	153	19932
23	162	20122
24	169	20152
25	177	20248
26	183	20214
27	190	20219
28	197	20238
29	204	20289
30	211	20292
31	218	20307
32	225	20288
33	232	20277
34	240	20366
35	247	20348
36	253	20340
37	260	20325
38	267	20331
39	275	20397
40	282	20387
41	289	20387
42	296	20358
43	302	20349
44	310	20366
45	317	20405
46	322	20278
47	330	20297
48	336	20293
49	344	20306
50	351	20302
51	358	20307
52	365	20315
53	371	20279
54	378	20276
55	386	20295
56	392	20271
57	399	20275
58	406	20259
59	412	20226
60	419	20209
61	426	20207
62	434	20238
63	440	20192
64	447	20189
65	453	20173
66	460	20169
67	467	20165
68	474	20162
69	481	20156
70	488	20139
71	495	20132
72	501	20117
73	508	20098
74	515	20096
75	521	20082
76	528	20077
77	535	20063
78	542	20047
79	549	20060
80	557	20073
81	563	20067
82	571	20084
83	579	20104
84	586	20129
85	594	20150
86	602	20175
87	611	20250
88	620	20280
89	628	20305
90	635	20299
91	643	20334
92	650	20331
93	657	20322
94	664	20316
95	671	20307
96	678	20309
97	685	20307
98	692	20292
99	699	20298
100	707	20315
101	714	20299
102	721	20304
103	728	20285
104	734	20261
105	741	20254
106	748	20238
107	755	20238
108	762	20233
109	769	20218
110	776	20217
111	783	20204
112	789	20180
113	797	20177
114	804	20172
115	810	20160
116	818	20161
117	825	20159
118	832	20158
119	839	20156
120	847	20169
121	855	20193
122	864	20220
123	871	20223
124	879	20235
125	888	20256
126	895	20267
127	904	20292
128	913	20322
129	920	20330
130	928	20336
131	936	20341
132	943	20331
133	952	20361
134	959	20358
135	966	20357
136	974	20359
137	981	20356
138	989	20364
139	997	20369
140	1004	20365
141	1012	20374
142	1020	20397
143	1028	20408
144	1036	20409
145	1044	20409
146	1052	20425
147	1059	20416
148	1066	20405
149	1074	20411
150	1081	20396
151	1088	20388
152	1095	20376
153	1102	20371
154	1109	20359
155	1115	20344
156	1123	20339
157	1130	20327
158	1136	20313
159	1144	20309
160	1151	20300
161	1158	20289
162	1165	20282
163	1172	20270
164	1178	20251
165	1185	20237
166	1191	20220
167	1198	20203
168	1205	20193
169	1212	20187
170	1219	20179
171	1226	20163
172	1232	20147
173	1239	20139
174	1246	20129
175	1253	20116
176	1260	20106
177	1267	20094
178	1273	20077
179	1281	20070
180	1287	20055
181	1294	20044
182	1301	20029
183	1307	20013
184	1314	19997
185	1321	19987
186	1328	19986
187	1335	19981
188	1342	19969
189	1349	19960
190	1356	19947
191	1363	19936
192	1369	19924
193	1376	19914
194	1384	19916
195	1391	19901
196	1397	19889
197	1404	19876
198	1411	19865
199	1417	19850
200	1424	19839
201	1431	19824
202	1438	19819
203	1445	19806
204	1452	19803
205	1459	19798
206	1466	19788
207	1473	19784
208	1481	19779
209	1488	19774
210	1495	19766
211	1502	19755
212	1508	19739
213	1515	19731
214	1522	19715
215	1528	19699
216	1536	19700
217	1543	19693
218	1549	19681
219	1556	19669
220	1563	19661
221	1570	19655
222	1577	19646
223	1584	19641
224	1591	19631
225	1598	19620
226	1605	19610
227	1612	19603
228	1619	19596
229	1626	19590
230	1633	19585
231	1641	19582
232	1648	19576
233	1655	19569
234	1663	19570
235	1671	19574
236	1678	19573
237	1686	19570
238	1694	19570
239	1701	19564
240	1708	19560
241	1715	19553
242	1723	19551
243	1730	19543
244	1737	19541
245	1745	19539
246	1753	19547
247	1761	19544
248	1768	19540
249	1775	19532
250	1782	19525
251	1790	19524
252	1797	19515
253	1804	19509
254	1811	19502
255	1818	19489
256	1825	19482
257	1831	19469
258	1838	19462
259	1845	19451
260	1852	19441
261	1860	19439
262	1866	19428
263	1873	19418
264	1880	19409
265	1887	19400
266	1894	19391
267	1901	19384
268	1907	19370
269	1915	19365
270	1921	19350
271	1927	19333
272	1934	19318
273	1940	19310
274	1948	19308
275	1954	19288
276	1960	19274
277	1967	19261
278	1973	19248
279	1980	19234
280	1986	19217
281	1992	19202
282	1998	19186
283	2004	19168
284	2010	19153
285	2016	19138
286	2022	19123
287	2029	19106
288	2035	19093
289	2042	19087
290	2050	19084
291	2056	19073
292	2063	19063
293	2070	19055
294	2076	19041
295	2082	19026
296	2088	19009
297	2095	18996
298	2101	18983
299	2107	18968
300	2114	18956
301	2120	18943
302	2126	18928
303	2132	18912
304	2138	18898
305	2144	18883
306	2151	18869
307	2157	18854
308	2163	18842
309	2169	18825
310	2175	18812
311	2182	18800
312	2188	18784
313	2195	18782
314	2201	18767
315	2207	18753
316	2214	18741
317	2220	18727
318	2226	18710
319	2232	18697
320	2238	18684
321	2244	18671
322	2250	18656
323	2257	18644
324	2263	18632
325	2269	18618
326	2275	18604
327	2282	18590
328	2288	18577
329	2294	18562
330	2300	18546
331	2306	18534
332	2312	18523
333	2318	18507
334	2325	18496
335	2331	18485
336	2337	18472
337	2343	18460
338	2350	18447
339	2356	18435
340	2362	18423
341	2368	18410
342	2374	18396
343	2381	18387
344	2387	18376
345	2394	18364
346	2400	18354
347	2407	18345
348	2413	18335
349	2420	18325
350	2426	18313
351	2432	18302
352	2439	18294
353	2445	18281
354	2452	18272
355	2458	18260
356	2465	18249
357	2471	18238
358	2477	18225
359	2483	18211
360	2489	18200
361	2496	18190
362	2501	18175
363	2508	18165
364	2514	18152
365	2520	18138
366	2526	18126
367	2532	18113
368	2538	18099
369	2545	18090
370	2551	18081
371	2557	18068
372	2564	18058
373	2570	18046
374	2576	18033
375	2582	18024
376	2588	18011
377	2594	17999
378	2601	17991
379	2607	17979
380	2614	17968
381	2620	17959
382	2626	17948
383	2633	17939
384	2639	17927
385	2645	17916
386	2651	17903
387	2657	17892
388	2664	17881
389	2670	17871
390	2676	17859
391	2682	17847
392	2688	17835
393	2694	17824
394	2700	17812
395	2707	17802
396	2713	17791
397	2719	17780
398	2726	17771
