iter	RMSE
0	0.3875718898
1	0.3752225192
2	0.3631629029
3	0.3513516459
4	0.3411976866
5	0.3319872893
6	0.3219269972
7	0.3129209546
8	0.3039304861
9	0.2951712585
10	0.2877165979
11	0.2804564434
12	0.2729021855
13	0.2662818769
14	0.2602225463
15	0.2537584287
16	0.2473163256
17	0.2411231712
18	0.2360819052
19	0.2309153479
20	0.2259099504
21	0.2212363649
22	0.2169364025
23	0.2127467205
24	0.2086265799
25	0.204556921
26	0.2008749853
27	0.1971694748
28	0.1938437347
29	0.1901932036
30	0.1866654893
31	0.1839171594
32	0.1808216063
33	0.1780337279
34	0.1756281219
35	0.1729365185
36	0.170727006
37	0.1684911424
38	0.1662952675
39	0.164382383
40	0.1625427548
41	0.1605619598
42	0.1584978893
43	0.1566354355
44	0.1550188235
45	0.1531618697
46	0.1518374457
47	0.1506296936
48	0.1491145198
49	0.1477998704
50	0.1462115413
51	0.1448103504
52	0.1434848114
53	0.1422223387
54	0.1410045538
55	0.1398614344
56	0.138845061
57	0.1378859471
58	0.1370251264
59	0.1361312207
60	0.1352526135
61	0.1343720339
62	0.1334173903
63	0.1325764834
64	0.1316794251
65	0.1307234199
66	0.1299703044
67	0.1290998137
68	0.1283049167
69	0.1274628628
70	0.1267756169
71	0.1260504756
72	0.1253845017
73	0.1247678872
74	0.124013542
75	0.1234239554
76	0.1227362868
77	0.1221066179
78	0.1215312996
79	0.1211528301
80	0.120468469
81	0.119978387
82	0.1194066295
83	0.1187399602
84	0.118386623
85	0.1177740288
86	0.1170711882
87	0.1166494227
88	0.1161271443
89	0.1156249619
90	0.1151453742
91	0.1147357091
92	0.1144156908
93	0.1141264094
94	0.1136651208
95	0.1130715154
96	0.1127033226
97	0.1122975618
98	0.1119518683
99	0.1114397862
100	0.1111554128
101	0.1108289547
102	0.1104064557
103	0.1100487338
104	0.1096845017
105	0.1094025831
106	0.1090151549
107	0.1087532262
108	0.1082703361
109	0.1081394161
110	0.1079410765
111	0.1076013404
112	0.107335359
113	0.1070250933
114	0.1067737644
115	0.106405755
116	0.1060959088
117	0.1057956844
118	0.1055052172
119	0.105161448
120	0.104895783
121	0.1045740831
122	0.1042415021
123	0.1039197927
124	0.1036376867
125	0.1034441265
126	0.1031315
127	0.1029029174
128	0.1026787535
129	0.1023928174
130	0.1023107495
131	0.1020432371
132	0.10187314
133	0.1016770181
134	0.1014319307
135	0.1011138167
136	0.1008718305
137	0.1006670292
138	0.1003930019
139	0.1001870967
140	0.0999205951
141	0.09971539745
142	0.09947334849
143	0.09921195936
144	0.09896664793
145	0.09863841664
146	0.09835705965
147	0.09816408997
148	0.09795291013
149	0.09774585107
150	0.09741881476
151	0.09729912164
152	0.09707906912
153	0.09690127128
154	0.09670300387
155	0.0966173667
156	0.09641621634
157	0.09609900922
158	0.09580163278
159	0.09564425969
160	0.09532928379
161	0.09511701171
162	0.09485686967
163	0.0945951359
164	0.09445227
165	0.0942052754
166	0.09418168648
167	0.09398572427
168	0.09379742444
169	0.09353895519
170	0.09344542764
171	0.09323310051
172	0.09292480016
173	0.09274807167
174	0.09251922301
175	0.09235595792
176	0.09207742479
177	0.09195858728
178	0.09166596718
179	0.09159502915
180	0.09152334926
181	0.09128645645
182	0.09119894383
183	0.09098280202
184	0.0909015018
185	0.09070206871
186	0.09043029729
187	0.09020231116
188	0.09005471444
189	0.08978491392
190	0.08957079866
191	0.0894044634
192	0.08900673654
193	0.08892163889
194	0.08884372809
195	0.08863538357
196	0.08838320779
197	0.08822051757
198	0.08807865893
199	0.08785386138
200	0.08762138202
201	0.08743322644
202	0.08724764035
203	0.08707046802
204	0.08684851611
