iter	Passed	Remaining
0	11	5519
1	19	4918
2	26	4470
3	33	4156
4	40	3972
5	46	3832
6	53	3752
7	60	3699
8	67	3674
9	74	3651
10	81	3643
11	89	3631
12	96	3615
13	104	3618
14	111	3619
15	119	3616
16	127	3612
17	135	3615
18	142	3616
19	150	3617
20	158	3606
21	165	3595
22	172	3582
23	179	3566
24	186	3552
25	194	3549
26	202	3540
27	209	3529
28	216	3520
29	224	3510
30	231	3496
31	238	3488
32	246	3481
33	253	3473
34	261	3468
35	268	3462
36	276	3458
37	283	3449
38	292	3452
39	300	3454
40	308	3450
41	316	3448
42	324	3447
43	332	3449
44	341	3449
45	349	3447
46	356	3440
47	364	3433
48	372	3425
49	379	3416
50	387	3413
51	395	3410
52	403	3402
53	410	3393
54	418	3382
55	424	3368
56	432	3360
57	440	3354
58	447	3345
59	454	3333
60	462	3325
61	469	3316
62	476	3306
63	484	3297
64	491	3287
65	498	3278
66	505	3269
67	513	3263
68	521	3255
69	528	3247
70	536	3239
71	543	3228
72	550	3220
73	558	3214
74	566	3208
75	574	3202
76	582	3199
77	589	3191
78	597	3181
79	604	3173
80	611	3164
81	619	3155
82	626	3145
83	633	3135
84	640	3128
85	648	3122
86	655	3113
87	662	3104
88	670	3096
89	677	3088
90	685	3080
91	692	3072
92	700	3064
93	708	3058
94	715	3051
95	723	3043
96	730	3036
97	738	3027
98	745	3018
99	753	3014
100	761	3009
101	771	3009
102	780	3007
103	788	3003
104	796	2997
105	805	2993
106	813	2988
107	821	2983
108	829	2975
109	837	2967
110	844	2960
111	852	2951
112	859	2944
113	867	2936
114	875	2929
115	882	2922
116	890	2914
117	897	2906
118	907	2904
119	912	2890
120	920	2884
121	929	2880
122	937	2874
123	946	2870
124	956	2868
125	964	2862
126	972	2856
127	980	2850
128	989	2845
129	997	2839
130	1006	2834
131	1014	2827
132	1021	2819
133	1029	2812
134	1037	2805
135	1045	2799
136	1053	2791
137	1061	2784
138	1069	2777
139	1077	2770
140	1085	2764
141	1093	2755
142	1100	2747
143	1107	2738
144	1115	2729
145	1122	2722
146	1129	2713
147	1136	2704
148	1144	2695
149	1151	2687
150	1158	2677
151	1165	2668
152	1172	2660
153	1180	2651
154	1187	2643
155	1195	2635
156	1202	2626
157	1210	2619
158	1217	2610
159	1224	2601
160	1231	2593
161	1235	2578
162	1242	2568
163	1250	2561
164	1257	2553
165	1264	2544
166	1272	2537
167	1279	2529
168	1287	2521
169	1296	2515
170	1304	2508
171	1310	2500
172	1318	2491
173	1325	2483
174	1334	2477
175	1341	2469
176	1349	2461
177	1356	2454
178	1363	2445
179	1370	2437
180	1378	2429
181	1385	2421
182	1393	2413
183	1400	2404
184	1407	2396
185	1415	2389
186	1422	2381
187	1430	2373
188	1437	2365
189	1444	2357
190	1452	2349
191	1459	2341
192	1466	2333
193	1474	2324
194	1481	2316
195	1487	2307
196	1495	2300
197	1502	2291
198	1509	2283
199	1516	2275
200	1523	2266
201	1531	2258
202	1538	2250
203	1545	2242
204	1552	2234
205	1560	2227
206	1567	2219
207	1575	2211
208	1582	2203
209	1589	2195
210	1596	2186
211	1603	2178
212	1610	2170
213	1618	2162
214	1624	2153
215	1632	2145
216	1639	2137
217	1647	2130
218	1654	2122
219	1661	2114
220	1669	2107
221	1676	2099
222	1683	2091
223	1690	2083
224	1698	2075
225	1705	2067
226	1712	2059
227	1720	2052
228	1727	2043
229	1734	2036
230	1742	2028
231	1749	2021
232	1757	2014
233	1765	2006
234	1772	1998
235	1779	1990
236	1787	1983
237	1794	1975
238	1801	1967
239	1808	1959
240	1815	1951
241	1823	1943
242	1830	1936
243	1838	1928
244	1846	1921
245	1854	1914
246	1861	1906
247	1869	1899
248	1877	1892
249	1885	1885
250	1893	1878
251	1901	1871
252	1910	1864
253	1918	1857
254	1926	1850
255	1933	1843
256	1941	1835
257	1949	1828
258	1956	1820
259	1964	1813
260	1972	1805
261	1980	1799
262	1988	1792
263	1996	1784
264	2004	1777
265	2012	1770
266	2019	1762
267	2027	1755
268	2034	1747
269	2042	1739
270	2049	1732
271	2057	1724
272	2064	1716
273	2071	1708
274	2079	1701
275	2086	1693
276	2093	1685
277	2100	1677
278	2108	1670
279	2115	1662
280	2122	1654
281	2129	1646
282	2137	1638
283	2144	1630
284	2151	1622
285	2158	1614
286	2165	1607
287	2172	1599
288	2179	1591
289	2186	1583
290	2194	1575
291	2201	1568
292	2209	1561
293	2218	1554
294	2227	1547
295	2235	1540
296	2244	1534
297	2253	1527
298	2262	1520
299	2272	1515
300	2284	1510
301	2296	1505
302	2308	1500
303	2321	1496
304	2332	1491
305	2342	1485
306	2353	1479
307	2369	1476
308	2379	1470
309	2390	1464
310	2399	1458
311	2409	1451
312	2419	1445
313	2429	1438
314	2438	1432
315	2449	1426
316	2458	1419
317	2468	1412
318	2478	1406
319	2487	1399
320	2496	1392
321	2505	1385
322	2515	1378
323	2525	1371
324	2534	1364
325	2544	1358
326	2554	1351
327	2564	1344
328	2573	1337
329	2583	1330
330	2592	1323
331	2602	1316
332	2611	1309
333	2621	1302
334	2630	1295
335	2640	1288
336	2649	1281
337	2658	1274
338	2668	1267
339	2678	1260
340	2688	1253
341	2698	1246
342	2707	1239
343	2717	1232
344	2727	1225
345	2737	1218
346	2746	1210
347	2754	1203
348	2764	1195
349	2773	1188
350	2782	1181
351	2793	1174
352	2810	1170
353	2820	1163
354	2829	1155
355	2838	1148
356	2847	1140
357	2857	1133
358	2866	1125
359	2876	1118
360	2886	1111
361	2895	1103
362	2904	1096
363	2914	1088
364	2923	1081
365	2932	1073
366	2942	1066
367	2951	1058
368	2960	1051
369	2971	1043
370	2980	1036
371	2989	1028
372	2998	1021
373	3008	1013
374	3017	1005
375	3026	998
376	3036	990
377	3045	982
378	3054	975
379	3064	967
380	3073	959
381	3083	952
382	3091	944
383	3101	936
384	3110	929
385	3119	921
386	3128	913
387	3138	905
388	3147	898
389	3156	890
390	3167	882
391	3179	875
392	3189	868
393	3199	860
394	3210	853
395	3221	845
396	3230	838
397	3240	830
398	3250	822
399	3259	814
400	3269	807
401	3279	799
402	3290	791
403	3301	784
404	3311	776
405	3320	768
406	3329	760
407	3339	753
408	3348	745
409	3357	736
410	3366	728
411	3375	720
412	3384	712
413	3393	704
414	3401	696
415	3410	688
416	3419	680
417	3428	672
418	3436	664
419	3443	655
420	3452	647
421	3460	639
422	3468	631
423	3476	623
424	3484	614
425	3493	606
426	3501	598
427	3509	590
428	3518	582
429	3526	574
430	3536	566
431	3544	557
432	3552	549
433	3560	541
434	3568	533
435	3576	525
436	3585	516
437	3593	508
438	3601	500
439	3610	492
440	3618	484
441	3626	475
442	3634	467
443	3642	459
444	3651	451
445	3659	443
446	3668	434
447	3676	426
448	3684	418
449	3692	410
450	3700	402
451	3710	393
452	3718	385
453	3726	377
454	3734	369
455	3742	361
456	3750	352
457	3758	344
458	3766	336
459	3775	328
460	3783	320
461	3791	311
