iter	RMSE
0	0.3891552667
1	0.3761805017
2	0.3648609223
3	0.3538825059
4	0.3436623063
5	0.3332122658
6	0.3245493021
7	0.3154140036
8	0.3067636059
9	0.2979042989
10	0.2892866915
11	0.2816183853
12	0.2739663283
13	0.2667002655
14	0.2604655343
15	0.2539930587
16	0.2483543911
17	0.2429635101
18	0.2370755226
19	0.2321066281
20	0.2277200629
21	0.2232116168
22	0.2185808733
23	0.2144545752
24	0.2103831393
25	0.206718747
26	0.20303613
27	0.1992756926
28	0.1961058482
29	0.192714451
30	0.1893668167
31	0.1862973615
32	0.1830360102
33	0.180280396
34	0.177791249
35	0.1753143042
36	0.1727377094
37	0.1703157684
38	0.1681956017
39	0.1660586328
40	0.1639636988
41	0.1621544169
42	0.160238511
43	0.1584529865
44	0.1566745604
45	0.1549282588
46	0.1533485208
47	0.1516699256
48	0.1501203495
49	0.148714813
50	0.1472617749
51	0.1457395196
52	0.1446216168
53	0.143271251
54	0.1420836135
55	0.1410235641
56	0.139960133
57	0.1388935593
58	0.1377195318
59	0.1367375861
60	0.1357663582
61	0.1348599603
62	0.1339837327
63	0.1332137476
64	0.1322920407
65	0.1314900597
66	0.1307215128
67	0.1300001634
68	0.1293015587
69	0.1284445541
70	0.1279181209
71	0.1271642196
72	0.1266099928
73	0.1258926197
74	0.1252005572
75	0.124560492
76	0.123685789
77	0.123151558
78	0.1226240547
79	0.1221490994
80	0.1218037914
81	0.1212343375
82	0.120606848
83	0.1201279508
84	0.1192991046
85	0.1188027269
86	0.1183188014
87	0.1178759755
88	0.1173198909
89	0.1168536377
90	0.1165988958
91	0.1160152828
92	0.1155637486
93	0.1150890522
94	0.1145920479
95	0.1142988855
96	0.1139311581
97	0.1134858184
98	0.1129826317
99	0.1126160642
100	0.1123056652
101	0.1118771023
102	0.1114653037
103	0.1110200946
104	0.110498825
105	0.1101598035
106	0.1097259107
107	0.1094028758
108	0.1091781924
109	0.1089630651
110	0.1086897104
111	0.1082515849
112	0.1079130913
113	0.1078019581
114	0.1073608663
115	0.107007188
116	0.1066616552
117	0.1062863929
118	0.1057389822
119	0.1055003216
120	0.1051950341
121	0.104696688
122	0.1046105067
123	0.10433464
124	0.1039833045
125	0.1038845417
126	0.1036213727
127	0.1033802483
128	0.1031304898
129	0.1029360424
130	0.1025245653
131	0.1021435255
132	0.1018460918
133	0.1016272036
134	0.101353511
135	0.1011068622
136	0.1009467863
137	0.1007732231
138	0.1005228063
139	0.1002114128
140	0.09991190924
141	0.09968158803
142	0.09941548836
143	0.0991569133
144	0.09889507614
145	0.09861755707
146	0.09841127422
147	0.09831442274
148	0.09825149163
149	0.09809941647
150	0.09798225723
151	0.09785311884
152	0.097739172
153	0.09746113531
154	0.09721127023
155	0.09711869737
156	0.09686596895
157	0.09655671222
158	0.09640640514
159	0.09623483473
160	0.09593363776
161	0.09590093402
162	0.0957588885
163	0.09548916692
164	0.09541792651
165	0.09529581597
166	0.09510221762
167	0.09505877718
168	0.09494298971
169	0.0946678217
170	0.09444697329
171	0.09436208636
172	0.09413602938
173	0.09394515994
174	0.09353548
175	0.09348684298
176	0.09344190037
177	0.09318942752
178	0.09288744839
179	0.09278412802
180	0.09270636045
181	0.09244485063
182	0.09215828773
183	0.09211312145
184	0.09186896436
185	0.09165138399
186	0.09138737423
187	0.09134991123
188	0.09127725529
189	0.09108310813
190	0.09094872215
191	0.09074007464
192	0.09059301429
193	0.09034950523
194	0.09020450411
195	0.09011382192
196	0.08991559199
197	0.08987869798
198	0.08969785748
199	0.08952835044
200	0.08943635436
201	0.08931143142
202	0.08908260598
203	0.08898427763
204	0.08867860061
205	0.08843151926
206	0.08832330822
207	0.08804994517
208	0.08800516591
209	0.08779858793
210	0.08769863554
211	0.08750351411
212	0.08726892203
213	0.08704257268
214	0.08685819579
215	0.08680534881
216	0.08654477484
217	0.08629845891
218	0.08612450765
219	0.08590979298
220	0.08569759191
221	0.08565865211
222	0.08548338727
223	0.08533599351
224	0.08517736595
225	0.08502012961
226	0.08483376278
227	0.08459866355
228	0.0843449546
229	0.08412542497
230	0.08396968094
231	0.08377174708
232	0.08358494199
233	0.08337783722
234	0.08307610173
235	0.08297272601
236	0.08289467965
237	0.08270478427
238	0.08259275545
239	0.0824991321
240	0.08229885114
241	0.08214807158
242	0.08197797096
243	0.08172094242
244	0.08155734588
245	0.08145634776
246	0.08135467476
247	0.08123691728
248	0.0811433444
249	0.08094012188
250	0.08077976851
251	0.08061704559
252	0.08044476644
253	0.0802589468
254	0.08006211532
255	0.07994702931
256	0.0799166123
257	0.07969681068
258	0.07960871489
259	0.07953139289
260	0.07937835944
261	0.07912760245
262	0.07901127722
263	0.07883232486
264	0.07869269314
265	0.07847951148
266	0.07839261522
267	0.07814555782
268	0.07795261207
269	0.07789481577
270	0.07769500854
271	0.0775264253
272	0.07743818558
273	0.07726486123
274	0.07707799083
275	0.07694389733
276	0.07678291672
277	0.07666186296
278	0.07647216843
279	0.07624381168
280	0.07607044806
281	0.07583867668
282	0.07564306537
283	0.07550324879
284	0.0753788717
285	0.07523951042
286	0.07504389167
287	0.07492764597
288	0.07476253668
289	0.07462818727
290	0.07441995659
291	0.07421468462
292	0.07404050093
293	0.0739369933
294	0.07385427913
295	0.07366206933
296	0.07349890969
297	0.07345119724
298	0.07340023238
299	0.07337345465
300	0.07320320932
301	0.07308612014
302	0.07294428233
303	0.07286748274
304	0.07277863287
305	0.07266575225
306	0.07259028623
307	0.0724173805
308	0.07232654662
309	0.07224578608
310	0.07211972451
311	0.07208156251
312	0.07191682046
313	0.07176407594
314	0.07173154343
315	0.07162172001
316	0.07149915479
317	0.07129178161
318	0.07127399698
319	0.0711042658
320	0.07096856789
321	0.07083110882
322	0.07071019398
323	0.07063342488
324	0.07052314305
325	0.07037042763
326	0.07023855907
327	0.07012867019
328	0.06998548558
329	0.06983572603
330	0.06966560182
331	0.06954466223
332	0.06949124509
333	0.06935362025
334	0.06931665156
335	0.06925389769
336	0.06909187724
337	0.06903703719
338	0.06888896542
339	0.06883799692
340	0.06868126251
341	0.06853735237
342	0.06832759772
343	0.06820824923
344	0.06807784613
345	0.06791101553
346	0.06773883882
347	0.06754061621
348	0.0674632183
349	0.0673207262
350	0.06726511128
351	0.06719615618
352	0.06716172592
353	0.06709687056
354	0.06697280925
355	0.06681443617
356	0.06669866074
357	0.06662239891
358	0.06656109728
359	0.06646805351
360	0.06634457366
361	0.06619389715
362	0.06618029901
363	0.06601822294
364	0.06594790133
365	0.06578753495
366	0.06564742611
367	0.06546761244
368	0.06540095376
369	0.06531200464
370	0.06523451255
371	0.06514193238
372	0.06503385414
373	0.06491143259
374	0.06478770783
375	0.064719984
376	0.06454602549
377	0.06444189578
378	0.06433306569
379	0.06424103507
380	0.06415519789
381	0.06405418538
382	0.0640050422
383	0.06385772171
384	0.06373369865
385	0.06366088397
386	0.06348086788
387	0.0633775011
388	0.06322737837
389	0.06311672571
390	0.06306174083
391	0.06297056942
392	0.06281925974
393	0.06268433391
394	0.06261345132
395	0.06251034064
396	0.06239599989
397	0.06235642549
398	0.06223584203
399	0.06214607213
400	0.06207704016
401	0.06199300889
402	0.06193390444
403	0.06177001016
404	0.06161718029
405	0.06145471328
406	0.06139511779
407	0.06128173019
408	0.06123638551
409	0.06115775658
410	0.06105296
411	0.06092854229
412	0.06083467162
413	0.06069313099
414	0.06065120497
415	0.06053516815
416	0.06039945427
417	0.06028341768
418	0.06018981562
419	0.06016469446
420	0.06007389883
421	0.05996669792
422	0.05984499557
423	0.05977391728
424	0.05967667788
425	0.05957933728
426	0.05946338727
427	0.05934806066
428	0.05923522585
429	0.05908130246
430	0.05895750641
431	0.05888341478
432	0.0587617124
433	0.058658075
434	0.05851542443
435	0.05842896006
436	0.05834887917
437	0.05832387982
438	0.05817010978
439	0.05806344249
440	0.05797770407
441	0.05786218444
442	0.05773996899
443	0.0576250667
444	0.05756516429
445	0.05745778418
446	0.05733254027
447	0.05725381293
448	0.05722751339
449	0.05714279795
450	0.05711000095
451	0.05700349382
452	0.05696745663
453	0.05687033677
454	0.05684555317
455	0.05682992996
456	0.05670502371
457	0.05668367348
458	0.05660526438
459	0.05656574116
460	0.05655250951
461	0.05640494615
462	0.05628600954
463	0.05617410562
464	0.0561002245
465	0.05602021292
466	0.05590006242
467	0.05581030524
468	0.05575244647
469	0.05563447574
470	0.05562023684
471	0.05553867176
472	0.05549928414
473	0.05543487209
474	0.05535129146
475	0.05529100836
476	0.05522031136
477	0.055155365
478	0.05506658449
479	0.05505560624
480	0.05500260297
481	0.05490874442
482	0.05489560211
483	0.05477708618
484	0.05476507775
485	0.05469097693
486	0.05456916379
487	0.0545417051
488	0.0543979972
489	0.05427639415
490	0.0541776649
491	0.05415479087
492	0.05404251182
493	0.05396466867
494	0.05384400397
495	0.05379839832
496	0.05374892973
497	0.05364684887
498	0.05360266805
499	0.05356789688
